Timestamp,Scotchbrite Generic Sponge with Liquid Dish Soap,Sisal Fiber Bag with Dawn Liquid Dish Soap,Ramie Bag with Cotton Drawstring with Dawn Liquid Dish Soap,Agave Fiber Bag with Dawn Liquid Dish Soap,Cotton/Hemp Blend Bag with Dawn Liquid Dish Soap,Sisal Fiber Bag with Miw Piw Soap Bar,Ramie Bag with Cotton Drawstring with Miw Piw Soap Bar,Agave Fiber Bag with Miw Piw Soap Bar,Cotton/Hemp Blend Bag with Miw Piw Soap Bar,Sisal Fiber Bag with No Tox Life Soap,Ramie Bag with Cotton Drawstring with No Tox Life Soap,Agave Fiber Bag with No Tox Life Soap,Cotton/Hemp Blend Bag with No Tox Life Soap,Scotchbrite Generic Sponge with ECOS sheets,Sisal Fiber Bag with ECOS sheets,Ramie Bag with Cotton Drawstring Bag with ECOS sheets,Agave Fiber Bag with ECOS sheets,Cotton/Hemp Blend Bag with ECOS sheets
11/5/2021 14:03:31,2,3,3,3,4,3,3,3,3,1,2,4,3,3,3,4,3,4
11/7/2021 20:39:06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/7/2021 20:39:49,2,3,2,4,4,3,2,2,3,1,1,4,4,4,4,4,3,4
11/7/2021 20:43:16,1,4,3,4,4,4,3,3,3,1,1,4,4,3,4,4,3,3
11/7/2021 20:44:13,1,3,2,3,3,3,,3,3,1,1,4,3,3,4,4,3,3
11/7/2021 20:44:17,2,4,3,4,4,4,3,4,4,2,3,4,4,4,4,4,3,4
11/7/2021 20:45:14,1,2,2,3,4,3,2,2,3,1,2,4,4,4,5,4,3,3
11/7/2021 20:45:39,1,3,2,3,3,3,2,3,3,1,1,3,3,3,4,3,2,2
11/7/2021 20:46:05,1,2,2,2,3,2,1,2,2,1,1,3,2,2,3,3,2,2
11/7/2021 20:46:47,1,3,2,3,3,2,1,2,2,1,1,4,3,2,4,3,2,2
11/7/2021 20:48:07,1,2,1,2,2,2,1,2,2,1,1,3,3,2,4,3,2,2
11/7/2021 20:48:14,1,2,1,2,3,2,1,2,2,1,1,2,2,1,4,3,2,2
11/7/2021 20:49:26,2,3,2,3,4,4,3,3,4,1,1,5,4,4,5,4,2,4
11/7/2021 20:51:22,2,2,2,2,3,2,2,2,3,3,2,2,3,3,4,4,2,3
11/7/2021 21:15:31,2,3,3,4,4,3,2,3,3,1,3,3,4,4,4,4,2,3
11/7/2021 21:37:54,1,2,1,3,4,3,1,3,3,1,1,4,4,4,5,4,3,3
11/7/2021 21:49:40,1,4,2,4,5,4,2,3,4,1,2,4,4,4,5,5,3,4
11/7/2021 22:06:38,2,4,3,4,5,4,3,3,4,2,2,4,4,4,5,4,4,4
11/7/2021 22:23:51,1,3,2,3,4,3,2,3,3,1,1,4,3,3,4,4,3,3
11/7/2021 22:28:08,1,3,2,3,4,3,1,2,4,1,2,4,4,4,5,5,3,4
11/7/2021 22:46:05,1,3,2,3,4,3,2,2,,1,1,3,3,3,2,2,2,2
11/7/2021 23:49:45,1,3,2,3,3,2,2,3,3,1,1,4,4,3,4,4,3,3
11/8/2021 8:01:55,4,3,4,2,2,3,5,4,4,5,5,2,2,2,1,2,5,3
11/8/2021 8:36:12,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1
11/8/2021 10:42:39,2,3,2,4,4,3,2,3,3,2,2,4,3,3,4,4,3,3
11/8/2021 11:01:59,1,2,2,2,2,2,1,2,2,1,1,2,2,1,3,2,2,2
11/8/2021 11:06:38,1,3,2,3,4,3,1,3,3,2,2,4,4,3,4,4,2,3
11/8/2021 11:17:35,1,2,1,2,3,2,1,1,2,1,1,3,3,2,4,3,2,3
11/8/2021 11:34:36,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2
11/8/2021 11:37:29,1,4,3,4,4,4,3,4,4,2,2,4,4,4,4,4,3,4
11/8/2021 11:40:30,2,4,3,4,4,3,3,4,4,1,2,4,4,4,4,4,2,4
11/8/2021 11:41:26,2,3,3,4,4,4,3,4,4,2,2,4,4,4,4,4,3,3
11/8/2021 12:08:34,2,4,3,4,5,4,3,4,4,1,2,5,4,4,5,5,4,4
11/8/2021 12:26:04,1,4,2,3,4,3,2,3,4,1,1,4,4,4,4,4,3,3
11/8/2021 12:32:36,2,4,3,4,4,3,2,4,4,1,1,4,4,3,4,4,2,3
11/8/2021 12:56:55,1,3,2,3,4,3,2,2,3,1,1,4,4,3,5,4,3,3
11/8/2021 13:46:09,1,3,1,2,3,2,,2,2,1,1,3,3,3,3,3,2,3
11/8/2021 14:12:17,3,4,3,3,4,3,3,3,4,2,3,4,4,4,4,4,3,3
11/8/2021 14:37:32,1,2,1,3,3,2,1,2,2,1,1,3,3,3,4,4,2,2
11/8/2021 14:41:01,1,3,2,3,3,3,2,4,3,2,3,4,4,4,4,4,3,3
11/8/2021 14:49:44,1,2,1,2,3,2,1,2,2,1,1,3,3,2,3,3,2,2
11/8/2021 15:12:59,1,2,1,1,3,2,1,1,2,1,1,3,2,2,3,3,2,2
11/8/2021 15:26:20,1,3,2,3,4,3,2,3,4,1,1,4,4,4,4,4,2,3
11/8/2021 15:40:17,1,2,2,2,3,2,2,2,2,1,1,3,3,3,3,3,2,2
11/8/2021 15:40:18,1,2,2,3,4,3,1,2,2,1,1,4,4,4,4,4,3,4
11/8/2021 15:40:33,2,3,3,3,3,3,2,3,3,2,2,3,3,3,4,3,2,3
11/8/2021 15:41:32,2,3,3,3,4,3,2,4,3,1,2,4,3,3,4,3,2,2
11/8/2021 15:43:37,2,3,2,4,4,4,3,4,4,2,2,4,4,4,4,4,4,4
11/8/2021 15:46:08,1,2,1,3,3,2,1,2,2,1,1,3,3,2,3,3,1,2
11/8/2021 15:46:17,1,4,3,4,4,3,2,3,4,3,3,4,4,3,4,4,3,3
11/8/2021 15:47:01,3,4,4,4,5,4,2,2,4,2,2,5,4,4,5,4,3,4
11/8/2021 15:48:58,1,2,2,2,3,2,2,2,2,1,1,3,2,2,3,3,2,3
11/8/2021 15:54:35,2,3,2,4,4,4,3,4,4,2,3,4,4,4,5,5,4,4
11/8/2021 16:00:04,1,3,2,4,4,3,1,2,3,1,1,3,3,3,4,4,3,3
11/8/2021 16:06:08,1,2,2,3,3,3,2,3,3,1,1,3,3,3,3,3,2,2
11/8/2021 16:06:29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2
11/8/2021 16:24:28,1,3,2,3,3,2,1,2,2,1,1,3,3,3,4,3,2,3
11/8/2021 16:51:59,1,2,1,2,2,2,1,2,2,1,1,2,2,2,3,2,1,2
11/8/2021 17:28:34,1,2,2,2,3,2,2,2,,1,1,3,2,2,3,3,2,2
11/8/2021 18:15:38,1,4,3,4,5,4,3,3,4,2,2,4,4,4,5,5,4,4
11/8/2021 18:34:46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/8/2021 19:27:23,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,3,2,2
11/8/2021 19:49:24,1,2,1,2,2,1,1,1,2,1,1,2,2,2,3,2,1,1
11/8/2021 21:24:37,1,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2
11/8/2021 21:29:53,3,4,3,4,4,4,3,4,4,2,3,4,4,4,4,4,4,4
11/9/2021 0:33:18,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
11/9/2021 10:02:54,1,3,2,3,4,3,2,3,4,1,2,4,4,3,4,4,3,3
11/9/2021 10:30:17,1,3,2,3,4,3,2,2,3,1,1,3,3,3,4,4,2,3
11/9/2021 10:55:09,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
11/9/2021 11:34:22,1,4,3,4,4,3,2,3,4,1,2,4,4,4,4,4,3,3
11/9/2021 12:14:04,1,3,2,3,4,3,2,3,3,1,1,4,4,4,4,4,3,4
11/9/2021 12:19:52,1,3,2,2,4,3,2,3,3,1,1,4,4,4,4,4,3,3
11/9/2021 12:24:11,2,2,2,2,3,2,1,2,3,1,1,4,3,3,4,4,2,2
11/9/2021 12:48:44,2,3,2,3,3,3,2,3,3,2,2,3,3,2,4,4,3,3
11/9/2021 13:05:24,1,1,1,1,2,,1,1,2,1,1,2,2,2,3,3,,2
11/9/2021 13:10:53,3,4,4,4,4,4,3,4,4,2,2,4,4,4,4,4,3,4
11/9/2021 13:16:20,1,3,1,3,3,3,2,2,3,1,1,3,3,3,4,3,3,3
11/9/2021 13:21:49,1,2,2,2,3,2,1,2,2,1,2,3,3,2,3,3,2,3
11/9/2021 16:13:00,1,2,1,2,3,2,1,2,3,1,1,3,3,3,4,4,2,3
11/9/2021 17:07:27,1,3,2,3,4,2,1,2,2,1,1,2,2,2,4,3,2,2
11/9/2021 17:41:44,2,3,2,3,3,2,2,3,3,1,1,4,4,4,4,4,3,3
11/9/2021 19:42:54,1,2,2,2,3,3,2,2,2,1,1,4,3,3,4,4,3,1
11/9/2021 20:58:09,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1
11/10/2021 12:47:17,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2
11/13/2021 13:21:29,1,3,2,3,4,3,2,2,2,1,1,,3,4,5,4,2,3
11/17/2021 15:37:57,1,3,2,3,4,3,2,3,4,1,1,4,4,3,4,4,2,3